Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers
Caco-1574,CHEMBL2170819,?,"",OC(=O)CN1C=C(C=N1)C1=CN=C2N=NN(CC3C=CC4=NC=CC=C4C=3)C2=N1,"InChI=1S/C19H14N8O2/c28-17(29)11-26-10-14(7-22-26)16-8-21-18-19(23-16)27(25-24-18)9-12-3-4-15-13(6-12)2-1-5-20-15/h1-8,10H,9,11H2,(H,28,29)",QQVKHORPCQCCPA-UHFFFAOYSA-N,DTXSID501123076,956906-94-8,"4-[1-(6-Quinolinylmethyl)-1H-1,2,3-triazolo[4,5-b]pyrazin-6-yl]-1H-pyrazole-1-acetic acid",OC(=O)CN1C=C(C=N1)C1=CN=C2N=NN(CC3C=CC4=NC=CC=C4C=3)C2=N1,"InChI=1S/C19H14N8O2/c28-17(29)11-26-10-14(7-22-26)16-8-21-18-19(23-16)27(25-24-18)9-12-3-4-15-13(6-12)2-1-5-20-15/h1-8,10H,9,11H2,(H,28,29)",QQVKHORPCQCCPA-UHFFFAOYSA-N,<undefined>,NaN,High,-8.522878745,1,CHEMBL,1,0
Caco-1575,CHEMBL1672717,53326888,"(2S)-2-[[(2S)-2-[[(2S)-2-[[2-[[2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]amino]acetyl]amino]acetyl]amino]-3-phenylpropanoyl]amino]-4-methylpentanoyl]amino]octanamide  ",CCCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N,"InChI=1S/C36H53N7O7/c1-4-5-6-10-13-28(33(38)47)42-35(49)29(18-23(2)3)43-36(50)30(20-24-11-8-7-9-12-24)41-32(46)22-39-31(45)21-40-34(48)27(37)19-25-14-16-26(44)17-15-25/h7-9,11-12,14-17,23,27-30,44H,4-6,10,13,18-22,37H2,1-3H3,(H2,38,47)(H,39,45)(H,40,48)(H,41,46)(H,42,49)(H,43,50)/t27-,28-,29-,30-/m0/s1",BSQZQKGJEYXKSD-KRCBVYEFSA-N,?,CHEMBL1672717,"",CC(C)CC(NC(=O)C(CC1C=CC=CC=1)NC(=O)CNC(=O)CNC(=O)C(N)CC1=CC=C(O)C=C1)C(=O)NC(CCCCCC)C(N)=O,"InChI=1S/C36H53N7O7/c1-4-5-6-10-13-28(33(38)47)42-35(49)29(18-23(2)3)43-36(50)30(20-24-11-8-7-9-12-24)41-32(46)22-39-31(45)21-40-34(48)27(37)19-25-14-16-26(44)17-15-25/h7-911-1214-172327-3044H4-6101318-2237H21-3H3(H23847)(H3945)(H4048)(H4146)(H4249)(H4350)",BSQZQKGJEYXKSD-UHFFFAOYSA-N,<undefined>,0,Low,-8.321481621,1,CHEMBL,1,0
Caco-1578,CHEMBL248439,44443067,"N-(6,7-dichloro-2,3-dioxo-1,4-dihydroquinoxalin-5-yl)-N-(2-methoxyethyl)methanesulfonamide  ",COCCN(c1c(Cl)c(Cl)cc2NC(=O)C(=O)Nc12)S(=O)(=O)C,"InChI=1S/C12H13Cl2N3O5S/c1-22-4-3-17(23(2,20)21)10-8(14)6(13)5-7-9(10)16-12(19)11(18)15-7/h5H,3-4H2,1-2H3,(H,15,18)(H,16,19)",RPBJCAXNIIFIFD-UHFFFAOYSA-N,?,CHEMBL248439,"",COCCN(C1C2NC(=O)C(=O)NC=2C=C(Cl)C=1Cl)S(C)(=O)=O,"InChI=1S/C12H13Cl2N3O5S/c1-22-4-3-17(23(220)21)10-8(14)6(13)5-7-9(10)16-12(19)11(18)15-7/h5H3-4H21-2H3(H1518)(H1619)",RPBJCAXNIIFIFD-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1579,CHEMBL248445,44443077,"N-(7-chloro-6-methyl-2,3-dioxo-1,4-dihydroquinoxalin-5-yl)-N-(2-methoxyethyl)methanesulfonamide  ",COCCN(c1c(C)c(Cl)cc2NC(=O)C(=O)Nc12)S(=O)(=O)C,"InChI=1S/C13H16ClN3O5S/c1-7-8(14)6-9-10(16-13(19)12(18)15-9)11(7)17(4-5-22-2)23(3,20)21/h6H,4-5H2,1-3H3,(H,15,18)(H,16,19)",QAEGBUUUKIIAML-UHFFFAOYSA-N,?,CHEMBL248445,"",CC1C(Cl)=CC2NC(=O)C(=O)NC=2C=1N(CCOC)S(C)(=O)=O,"InChI=1S/C13H16ClN3O5S/c1-7-8(14)6-9-10(16-13(19)12(18)15-9)11(7)17(4-5-22-2)23(320)21/h6H4-5H21-3H3(H1518)(H1619)",QAEGBUUUKIIAML-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,1
Caco-1580,CHEMBL248446,44443078,"N-(6-chloro-7-ethyl-2,3-dioxo-1,4-dihydroquinoxalin-5-yl)-N-(3-methoxypropyl)methanesulfonamide  ",CCc1cc2NC(=O)C(=O)Nc2c(N(CCCOC)S(=O)(=O)C)c1Cl,"InChI=1S/C15H20ClN3O5S/c1-4-9-8-10-12(18-15(21)14(20)17-10)13(11(9)16)19(25(3,22)23)6-5-7-24-2/h8H,4-7H2,1-3H3,(H,17,20)(H,18,21)",YIKXBWQRHOAYSJ-UHFFFAOYSA-N,?,CHEMBL248446,"",CCC1=CC2NC(=O)C(=O)NC=2C(=C1Cl)N(CCCOC)S(C)(=O)=O,"InChI=1S/C15H20ClN3O5S/c1-4-9-8-10-12(18-15(21)14(20)17-10)13(11(9)16)19(25(322)23)6-5-7-24-2/h8H4-7H21-3H3(H1720)(H1821)",YIKXBWQRHOAYSJ-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1585,CHEMBL475609,44589002,"5-[[(1S,2R)-2-aminocyclohexyl]amino]-7-(3,5-dimethoxyanilino)-[1,2,4]triazolo[4,3-c]pyrimidine-8-carboxamide  ",COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4cnnc4c2C(=O)N)cc(OC)c1,"InChI=1S/C20H26N8O3/c1-30-12-7-11(8-13(9-12)31-2)24-18-16(17(22)29)19-27-23-10-28(19)20(26-18)25-15-6-4-3-5-14(15)21/h7-10,14-15,24H,3-6,21H2,1-2H3,(H2,22,29)(H,25,26)/t14-,15+/m1/s1",JMJSTGZRLYHCCI-CABCVRRESA-N,?,CHEMBL475609,"",COC1C=C(C=C(C=1)OC)NC1N=C(NC2CCCCC2N)N2C=NN=C2C=1C(N)=O,"InChI=1S/C20H26N8O3/c1-30-12-7-11(8-13(9-12)31-2)24-18-16(17(22)29)19-27-23-10-28(19)20(26-18)25-15-6-4-3-5-14(15)21/h7-1014-1524H3-621H21-2H3(H22229)(H2526)",JMJSTGZRLYHCCI-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1581,CHEMBL253534,136036597,"N-[3-[2-(3,3-dimethylbutyl)-5-hydroxy-3-oxo-6-thiophen-2-ylpyridazin-4-yl]-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazin-7-yl]-N-methylmethanesulfonamide  ",CN(c1ccc2NC(=NS(=O)(=O)c2c1)C3=C(O)C(=NN(CCC(C)(C)C)C3=O)c4cccs4)S(=O)(=O)C,"InChI=1S/C23H27N5O6S3/c1-23(2,3)10-11-28-22(30)18(20(29)19(25-28)16-7-6-12-35-16)21-24-15-9-8-14(27(4)36(5,31)32)13-17(15)37(33,34)26-21/h6-9,12-13,29H,10-11H2,1-5H3,(H,24,26)",XISZSFJEMVMFNT-UHFFFAOYSA-N,?,CHEMBL253534,"",CS(=O)(=O)N(C)C1C=C2C(=CC=1)NC(=NS2(=O)=O)C1C(=O)N(CCC(C)(C)C)N=C(C2=CC=CS2)C1=O,"InChI=1S/C23H27N5O6S3/c1-23(23)10-11-28-22(30)18(20(29)19(25-28)16-7-6-12-35-16)21-24-15-9-8-14(27(4)36(531)32)13-17(15)37(3334)26-21/h6-912-1318H10-11H21-5H3(H2426)",NZSYLCPVJNUBEX-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1583,CHEMBL3794546,121448333,"4-[[4-[4-chloro-3-(trifluoromethyl)phenoxy]-3,5-difluorophenyl]methoxy]-1-methyl-6-piperidin-1-ylpyrimidin-2-one  ",CN1C(=O)N=C(OCc2cc(F)c(Oc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)C=C1N4CCCCC4,"InChI=1S/C24H21ClF5N3O3/c1-32-21(33-7-3-2-4-8-33)12-20(31-23(32)34)35-13-14-9-18(26)22(19(27)10-14)36-15-5-6-17(25)16(11-15)24(28,29)30/h5-6,9-12H,2-4,7-8,13H2,1H3",RVVACDYMBPVRNL-UHFFFAOYSA-N,?,CHEMBL3794546,"",CN1C(=CC(=NC1=O)OCC1C=C(F)C(OC2C=C(C(Cl)=CC=2)C(F)(F)F)=C(F)C=1)N1CCCCC1,"InChI=1S/C24H21ClF5N3O3/c1-32-21(33-7-3-2-4-8-33)12-20(31-23(32)34)35-13-14-9-18(26)22(19(27)10-14)36-15-5-6-17(25)16(11-15)24(2829)30/h5-69-12H2-47-813H21H3",RVVACDYMBPVRNL-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1577,CHEMBL217659,11975059,"4-[4-[(2-butyl-5,7-dimethylimidazo[4,5-b]pyridin-3-yl)methyl]phenyl]-2-methyl-1-oxoisoquinoline-3-carboxylic acid ",CCCCc1nc2c(C)cc(C)nc2n1Cc3ccc(cc3)C4=C(N(C)C(=O)c5ccccc45)C(=O)O,"InChI=1S/C30H30N4O3/c1-5-6-11-24-32-26-18(2)16-19(3)31-28(26)34(24)17-20-12-14-21(15-13-20)25-22-9-7-8-10-23(22)29(35)33(4)27(25)30(36)37/h7-10,12-16H,5-6,11,17H2,1-4H3,(H,36,37)",YUDQFUUZTCMUCN-UHFFFAOYSA-N,?,CHEMBL217659,"",CN1C(C(O)=O)=C(C2=CC=C(CN3C4=NC(C)=CC(C)=C4N=C3CCCC)C=C2)C2=CC=CC=C2C1=O,"InChI=1S/C30H30N4O3/c1-5-6-11-24-32-26-18(2)16-19(3)31-28(26)34(24)17-20-12-14-21(15-13-20)25-22-9-7-8-10-23(22)29(35)33(4)27(25)30(36)37/h7-1012-16H5-61117H21-4H3(H3637)",YUDQFUUZTCMUCN-UHFFFAOYSA-N,<undefined>,0,Low,-8,1,CHEMBL,1,0
Caco-1587,CHEMBL456104,54728257,"N-[3-[5-hydroxy-2-(3-methylbutyl)-3-oxo-6-thiophen-2-ylpyridazin-4-yl]-1,1-dioxo-4H-1lambda6,4-benzothiazin-7-yl]methanesulfonamide  ",CC(C)CCN1N=C(C(=C(C2=CS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)C1=O)O)c4cccs4,"InChI=1S/C22H24N4O6S3/c1-13(2)8-9-26-22(28)19(21(27)20(24-26)17-5-4-10-33-17)16-12-35(31,32)18-11-14(25-34(3,29)30)6-7-15(18)23-16/h4-7,10-13,23,25,27H,8-9H2,1-3H3",NKZVGAIIVIHTCD-UHFFFAOYSA-N,?,CHEMBL456104,"",CS(=O)(=O)NC1C=C2C(=CC=1)N=C(CS2(=O)=O)C1C(=O)N(CCC(C)C)N=C(C2=CC=CS2)C1=O,"InChI=1S/C22H24N4O6S3/c1-13(2)8-9-26-22(28)19(21(27)20(24-26)17-5-4-10-33-17)16-12-35(3132)18-11-14(25-34(329)30)6-7-15(18)23-16/h4-710-11131925H8-912H21-3H3",FDMCOHOEJRPAAS-UHFFFAOYSA-N,<undefined>,0,Low,-7.920818754,1,CHEMBL,1,1
