Molecule Name,AD_index_LogP,Conf_index_LogP,LogP_pred,AD_LogP,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,VP_pred,AD_VP,AD_index_VP,Conf_index_VP,WS_pred,AD_WS,AD_index_WS,Conf_index_WS,HL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,KOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,ionization,AD_pKa,AD_index_pKa,Conf_index_pKa,pKa_a_pred,pKa_b_pred,AOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,BCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_pred,AD_ReadyBiodeg,Conf_index_ReadyBiodeg,KM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,AD_CERAPP_Ago,AD_CERAPP_Anta,AD_CERAPP_BinD,CERAPP_Ago_pred,AD_index_CERAPP_Ago,Conf_index_CERAPP_Ago,CERAPP_Anta_pred,AD_index_CERAPP_Anta,Conf_index_CERAPP_Anta,CERAPP_Bind_pred,AD_index_CERAPP_Bind,Conf_index_CERAPP_Bind,CoMPARA_Ago_pred,AD_CoMPARA_Ago,AD_index_CoMPARA_Ago,Conf_index_CoMPARA_Ago,CoMPARA_Anta_pred,AD_CoMPARA_Anta,AD_index_CoMPARA_Anta,Conf_index_CoMPARA_Anta,CoMPARA_Bind_pred,AD_CoMPARA_BinD,AD_index_CoMPARA_Bind,Conf_index_CoMPARA_Bind,CATMoS_VT_pred,AD_VT,AD_index_VT,Conf_index_VT,CATMoS_NT_pred,AD_NT,AD_index_NT,Conf_index_NT,CATMoS_EPA_pred,AD_EPA,AD_index_EPA,Conf_index_EPA,CATMoS_GHS_pred,AD_GHS,AD_index_GHS,Conf_index_GHS,CATMoS_LD50_pred,AD_LD50,AD_index_LD50,Conf_index_LD50,AD_index_ReadyBiodeg,
50-01-1,0.480419,0.514066,-1.166755,1.000000,56.969947,0.000000,0.845536,0.591406,257.477415,0.000000,0.148019,0.459055,-4.761319,0.000000,0.322224,0.301881,-1.467986,0.000000,0.856193,0.800029,-8.312731,0.000000,0.246857,0.303348,-12.899228,0.000000,0.148557,0.461939,5.896132,0.000000,0.188980,0.423337,1.000000,0.000000,0.915149,0.637367,NaN,11.290924,-10.422068,1.000000,0.333078,0.458896,0.442750,1.000000,0.465876,0.659768,0.758320,0.000000,0.382029,0.548609,1.000000,1.000000,0.527430,-0.858528,0.000000,0.208072,0.450270,0.558393,1.000000,0.638366,0.611354,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.910606,0.000000,1.000000,1.000000,0.911397,2.000000,1.000000,1.000000,0.463810,3.000000,1.000000,1.000000,0.247059,2.830753,1.000000,1.000000,0.726901,0.363877,
50-02-2,0.900462,0.860512,1.865338,1.000000,240.060898,1.000000,0.886896,0.778310,391.226262,0.000000,0.156367,0.289241,-9.445533,0.000000,0.259382,0.272319,-3.848478,1.000000,0.897371,0.718971,-10.133405,0.000000,0.125731,0.202325,11.705107,1.000000,0.536005,0.510153,9.301032,0.000000,0.174695,0.325456,1.000000,0.000000,0.283358,0.596223,7.571109,NaN,-10.201714,0.000000,0.100839,0.489382,0.354129,1.000000,0.299080,0.442205,1.768174,0.000000,0.132626,0.493452,0.000000,1.000000,0.498865,-0.276811,0.000000,0.136932,0.391438,4.700203,0.000000,0.200035,0.345560,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,0.714286,1.000000,1.000000,0.550000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974898,0.697609,1.000000,1.000000,1.000000,0.969697,0.000000,1.000000,1.000000,0.785714,1.000000,1.000000,1.000000,0.750000,3.000000,1.000000,1.000000,0.450000,4.000000,1.000000,1.000000,0.166667,2.423520,1.000000,0.791010,0.449003,0.306746,
50-04-4,0.908599,0.854532,2.220271,1.000000,225.400947,1.000000,0.868502,0.769243,418.502058,0.000000,0.198701,0.296120,-8.443029,0.000000,0.260072,0.332116,-4.344497,1.000000,0.861823,0.839433,-9.965774,0.000000,0.117419,0.207655,14.695017,1.000000,0.473924,0.491525,10.358105,0.000000,0.435190,0.404804,1.000000,0.000000,0.246024,0.577498,NaN,9.532794,-9.866114,0.000000,0.103335,0.507556,0.836665,1.000000,0.295406,0.485162,1.403613,0.000000,0.149397,0.511908,0.000000,1.000000,0.473941,0.383796,0.000000,0.180389,0.380754,4.613530,0.000000,0.194718,0.335723,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,1.000000,1.000000,0.571429,1.000000,1.000000,0.684211,1.000000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,0.578947,1.000000,1.000000,1.000000,0.843750,0.000000,1.000000,0.986090,0.873058,1.000000,1.000000,0.944786,0.771802,3.000000,1.000000,0.934458,0.506567,5.000000,1.000000,0.956565,0.790615,2.807616,1.000000,0.759767,0.441183,0.335308,
50-06-6,0.888307,0.832005,1.418476,1.000000,178.361671,1.000000,0.907997,0.792323,255.072087,0.000000,0.102487,0.429512,-8.602436,1.000000,0.317544,0.289906,-2.372704,1.000000,0.889012,0.863436,-8.449481,0.000000,0.224837,0.331192,8.150399,1.000000,0.634255,0.600966,9.268929,0.000000,0.302501,0.389971,1.000000,0.000000,0.472457,0.382355,7.711628,NaN,-10.983518,0.000000,0.198408,0.515667,0.370906,1.000000,0.440412,0.575125,0.547805,0.000000,0.373490,0.652188,0.000000,1.000000,0.594587,-0.616506,1.000000,0.316866,0.483073,1.718540,1.000000,0.431070,0.560920,1.000000,1.000000,1.000000,0.000000,1.000000,0.900000,0.000000,1.000000,0.857143,0.000000,1.000000,0.842105,0.000000,1.000000,1.000000,0.950000,0.000000,1.000000,1.000000,0.952381,0.000000,1.000000,1.000000,0.966667,0.000000,1.000000,1.000000,0.857143,0.000000,1.000000,1.000000,0.888889,2.000000,1.000000,1.000000,0.636364,4.000000,1.000000,1.000000,0.363636,2.519273,1.000000,1.000000,0.625000,0.498191,
50-10-2,0.475522,0.511194,3.263077,1.000000,113.428815,1.000000,0.423574,0.396192,303.506403,1.000000,0.218644,0.377263,-6.491310,1.000000,0.398789,0.393952,-5.102325,1.000000,0.482033,0.522451,-7.808406,0.000000,0.262095,0.298801,20.495299,1.000000,0.457006,0.508945,11.416434,0.000000,0.851535,0.590982,1.000000,1.000000,0.364731,0.647675,NaN,8.041924,-10.756675,0.000000,0.139640,0.462212,0.947379,1.000000,0.324118,0.499948,0.526286,0.000000,0.250387,0.584506,0.000000,1.000000,0.516006,0.197576,1.000000,0.285753,0.470556,3.137541,1.000000,0.352933,0.455268,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.750000,0.000000,1.000000,1.000000,0.833333,0.000000,1.000000,1.000000,0.750000,0.000000,1.000000,1.000000,0.680000,0.000000,1.000000,1.000000,0.964286,0.000000,1.000000,1.000000,0.894704,3.000000,1.000000,1.000000,0.869318,4.000000,1.000000,1.000000,0.788889,2.931663,1.000000,1.000000,1.000000,0.468503,
50-11-3,0.886720,0.826925,1.250174,1.000000,140.650415,1.000000,0.870612,0.678357,244.363471,0.000000,0.199114,0.408801,-4.778289,1.000000,0.428187,0.477325,-1.982480,1.000000,0.880643,0.808277,-8.350031,0.000000,0.247489,0.347683,5.123397,1.000000,0.562219,0.552685,10.193510,0.000000,0.801628,0.609942,1.000000,1.000000,0.375870,0.539695,10.518889,NaN,-11.233454,0.000000,0.241405,0.506013,0.363666,1.000000,0.460287,0.657042,0.670067,0.000000,0.308450,0.543686,0.000000,1.000000,0.552655,-1.052912,1.000000,0.452905,0.617369,1.856826,1.000000,0.493978,0.618329,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.947368,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.964386,0.869732,0.000000,1.000000,1.000000,0.923077,4.000000,1.000000,0.970647,0.592757,5.000000,1.000000,0.947930,0.668011,2.919808,1.000000,0.807411,0.782267,0.492736,
50-12-4,0.884391,0.880548,1.661618,1.000000,140.747305,1.000000,0.869315,0.704217,313.056914,0.000000,0.227134,0.451173,-7.118171,1.000000,0.422474,0.404477,-2.161768,1.000000,0.582190,0.533917,-8.503309,1.000000,0.317571,0.389368,8.093609,1.000000,0.595090,0.570183,10.621021,0.000000,0.850209,0.637908,1.000000,1.000000,0.473784,0.696655,9.502036,NaN,-10.780978,0.000000,0.263372,0.505771,0.341241,1.000000,0.453144,0.586224,0.523911,0.000000,0.375809,0.647075,0.000000,1.000000,0.544826,-1.063488,1.000000,0.488293,0.625130,1.724214,1.000000,0.480122,0.629833,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.944444,0.000000,1.000000,1.000000,0.947368,0.000000,1.000000,1.000000,0.894737,0.000000,1.000000,1.000000,0.935484,0.000000,1.000000,0.968737,0.855559,0.000000,1.000000,1.000000,0.896552,3.000000,1.000000,1.000000,0.913043,4.000000,1.000000,1.000000,0.857143,2.965908,1.000000,1.000000,1.000000,0.477079,
50-14-6,0.423516,0.451172,8.521042,0.000000,109.024115,1.000000,0.918952,0.808039,388.191893,0.000000,0.288908,0.478521,-7.056841,0.000000,0.248800,0.417552,-6.898121,1.000000,0.438888,0.462320,-7.459663,0.000000,0.180800,0.281057,35.006475,1.000000,0.337927,0.495699,10.366844,0.000000,0.441532,0.407831,1.000000,1.000000,0.341085,0.266921,11.755030,NaN,-9.717400,0.000000,0.104781,0.502799,3.495181,0.000000,0.254223,0.458315,0.913131,0.000000,0.201233,0.530348,0.000000,1.000000,0.706336,0.679662,0.000000,0.205488,0.431910,4.860942,0.000000,0.320461,0.450113,1.000000,1.000000,1.000000,1.000000,0.860358,0.657626,1.000000,0.909720,0.778991,0.000000,0.919755,0.784714,1.000000,1.000000,1.000000,0.600000,1.000000,1.000000,1.000000,0.904762,1.000000,1.000000,1.000000,0.967742,1.000000,1.000000,1.000000,0.833333,0.000000,1.000000,1.000000,0.785714,1.000000,1.000000,1.000000,0.800000,2.000000,1.000000,1.000000,0.500000,1.234421,1.000000,1.000000,0.391304,0.412672,
50-18-0,0.916139,0.831594,0.794911,1.000000,53.266553,1.000000,0.889102,0.805116,300.123823,0.000000,0.215153,0.397557,-4.007605,1.000000,0.441490,0.377265,-0.992585,1.000000,0.871764,0.727831,-5.562212,1.000000,0.423368,0.511687,7.947770,1.000000,0.477289,0.542976,8.522922,1.000000,0.893894,0.615733,1.000000,1.000000,0.317745,0.330195,7.560387,NaN,-10.618543,1.000000,0.378252,0.551993,0.382762,1.000000,0.357688,0.526172,0.581743,0.000000,0.111707,0.461120,1.000000,1.000000,0.462045,-1.107747,1.000000,0.383939,0.542021,1.576439,1.000000,0.435203,0.562350,1.000000,1.000000,1.000000,0.000000,1.000000,0.666667,0.000000,1.000000,0.625000,0.000000,1.000000,0.705882,0.000000,1.000000,0.978154,0.970628,0.000000,1.000000,1.000000,0.900000,0.000000,1.000000,0.986222,0.941149,1.000000,1.000000,1.000000,0.537778,0.000000,1.000000,1.000000,0.928205,2.000000,1.000000,1.000000,0.726708,3.000000,1.000000,1.000000,0.665635,2.039685,1.000000,1.000000,0.914855,0.311517,
50-19-1,0.542563,0.511082,-1.344350,1.000000,70.800297,1.000000,0.862021,0.603289,300.375542,0.000000,0.275189,0.513219,-6.972113,1.000000,0.350800,0.360997,-0.973600,1.000000,0.856022,0.779137,-8.732001,1.000000,0.285909,0.361444,7.603965,1.000000,0.589929,0.564148,8.138539,0.000000,0.422444,0.464109,1.000000,1.000000,0.400500,0.654859,7.247568,NaN,-10.868630,0.000000,0.306018,0.524632,0.130507,1.000000,0.402747,0.587572,0.548610,0.000000,0.300529,0.615843,1.000000,1.000000,0.562385,-0.842831,1.000000,0.342768,0.512061,1.561345,1.000000,0.528131,0.573124,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.982115,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.965517,0.000000,1.000000,0.959522,0.990921,0.000000,1.000000,0.980622,0.857481,3.000000,1.000000,0.987147,0.806871,5.000000,1.000000,0.971955,0.814036,2.535942,1.000000,0.859840,0.757266,0.512197,
