Molecule Name,AD_index_LogP,Conf_index_LogP,LogP_pred,AD_LogP,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,VP_pred,AD_VP,AD_index_VP,Conf_index_VP,WS_pred,AD_WS,AD_index_WS,Conf_index_WS,HL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,KOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,ionization,AD_pKa,AD_index_pKa,Conf_index_pKa,pKa_a_pred,pKa_b_pred,AOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,BCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_pred,AD_ReadyBiodeg,Conf_index_ReadyBiodeg,KM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,AD_CERAPP_Ago,AD_CERAPP_Anta,AD_CERAPP_BinD,CERAPP_Ago_pred,AD_index_CERAPP_Ago,Conf_index_CERAPP_Ago,CERAPP_Anta_pred,AD_index_CERAPP_Anta,Conf_index_CERAPP_Anta,CERAPP_Bind_pred,AD_index_CERAPP_Bind,Conf_index_CERAPP_Bind,CoMPARA_Ago_pred,AD_CoMPARA_Ago,AD_index_CoMPARA_Ago,Conf_index_CoMPARA_Ago,CoMPARA_Anta_pred,AD_CoMPARA_Anta,AD_index_CoMPARA_Anta,Conf_index_CoMPARA_Anta,CoMPARA_Bind_pred,AD_CoMPARA_BinD,AD_index_CoMPARA_Bind,Conf_index_CoMPARA_Bind,CATMoS_VT_pred,AD_VT,AD_index_VT,Conf_index_VT,CATMoS_NT_pred,AD_NT,AD_index_NT,Conf_index_NT,CATMoS_EPA_pred,AD_EPA,AD_index_EPA,Conf_index_EPA,CATMoS_GHS_pred,AD_GHS,AD_index_GHS,Conf_index_GHS,CATMoS_LD50_pred,AD_LD50,AD_index_LD50,Conf_index_LD50,AD_index_ReadyBiodeg,LogD55_pred,LogD74_pred,AD_LogD,AD_index_LogD,Conf_index_LogD
50-01-1,0.480419,0.514066,-1.166755,1,56.969947,0,0.845536,0.591406,257.477415,0,0.148019,0.459055,-4.761319,0,0.322224,0.301881,-1.467986,0,0.856193,0.800029,-8.312731,0,0.246857,0.303348,-12.899228,0,0.148557,0.461939,5.896132,0,0.18898,0.423337,1,0,0.915149,0.637367,NaN,11.290924,-10.422068,1,0.333078,0.458896,0.44275,1,0.465876,0.659768,0.75832,0,0.382029,0.548609,1,1,0.52743,-0.858528,0,0.208072,0.45027,0.558393,1,0.638366,0.611354,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.910606,0,1,1,0.911397,2,1,1,0.46381,3,1,1,0.247059,2.830753,1,1,0.726901,0.363877,-6.95768,-5.057735,0,0.697784,0.575716
50-02-2,0.900462,0.860512,1.865338,1,240.060898,1,0.886896,0.77831,391.226262,0,0.156367,0.289241,-9.445533,0,0.259382,0.272319,-3.848478,1,0.897371,0.718971,-10.133405,0,0.125731,0.202325,11.705107,1,0.536005,0.510153,9.301032,0,0.174695,0.325456,1,0,0.283358,0.596223,7.571109,NaN,-10.201714,0,0.100839,0.489382,0.354129,1,0.29908,0.442205,1.768174,0,0.132626,0.493452,0,1,0.498865,-0.276811,0,0.136932,0.391438,4.700203,0,0.200035,0.34556,1,1,1,1,1,0.8,1,1,0.714286,1,1,0.55,1,1,1,1,1,1,0.974898,0.697609,1,1,1,0.969697,0,1,1,0.785714,1,1,1,0.75,3,1,1,0.45,4,1,1,0.166667,2.42352,1,0.79101,0.449003,0.306746,1.861666,1.641489,0,0.59191,0.728367
50-04-4,0.908599,0.854532,2.220271,1,225.400947,1,0.868502,0.769243,418.502058,0,0.198701,0.29612,-8.443029,0,0.260072,0.332116,-4.344497,1,0.861823,0.839433,-9.965774,0,0.117419,0.207655,14.695017,1,0.473924,0.491525,10.358105,0,0.43519,0.404804,1,0,0.246024,0.577498,NaN,9.532794,-9.866114,0,0.103335,0.507556,0.836665,1,0.295406,0.485162,1.403613,0,0.149397,0.511908,0,1,0.473941,0.383796,0,0.180389,0.380754,4.61353,0,0.194718,0.335723,1,1,1,1,1,0.6,1,1,0.571429,1,1,0.684211,1,1,1,0.95,1,1,1,0.578947,1,1,1,0.84375,0,1,0.98609,0.873058,1,1,0.944786,0.771802,3,1,0.934458,0.506567,5,1,0.956565,0.790615,2.807616,1,0.759767,0.441183,0.335308,-1.812563,0.084291,0,0.577312,0.716015
50-06-6,0.888307,0.832005,1.418476,1,178.361671,1,0.907997,0.792323,255.072087,0,0.102487,0.429512,-8.602436,1,0.317544,0.289906,-2.372704,1,0.889012,0.863436,-8.449481,0,0.224837,0.331192,8.150399,1,0.634255,0.600966,9.268929,0,0.302501,0.389971,1,0,0.472457,0.382355,7.711628,NaN,-10.983518,0,0.198408,0.515667,0.370906,1,0.440412,0.575125,0.547805,0,0.37349,0.652188,0,1,0.594587,-0.616506,1,0.316866,0.483073,1.71854,1,0.43107,0.56092,1,1,1,0,1,0.9,0,1,0.857143,0,1,0.842105,0,1,1,0.95,0,1,1,0.952381,0,1,1,0.966667,0,1,1,0.857143,0,1,1,0.888889,2,1,1,0.636364,4,1,1,0.363636,2.519273,1,1,0.625,0.498191,1.415817,1.245889,0,0.680382,0.60718
50-10-2,0.475522,0.511194,3.263077,1,113.428815,1,0.423574,0.396192,303.506403,1,0.218644,0.377263,-6.49131,1,0.398789,0.393952,-5.102325,1,0.482033,0.522451,-7.808406,0,0.262095,0.298801,20.495299,1,0.457006,0.508945,11.416434,0,0.851535,0.590982,1,1,0.364731,0.647675,NaN,8.041924,-10.756675,0,0.13964,0.462212,0.947379,1,0.324118,0.499948,0.526286,0,0.250387,0.584506,0,1,0.516006,0.197576,1,0.285753,0.470556,3.137541,1,0.352933,0.455268,1,1,1,0,1,1,0,1,1,0,1,0.75,0,1,1,0.833333,0,1,1,0.75,0,1,1,0.68,0,1,1,0.964286,0,1,1,0.894704,3,1,1,0.869318,4,1,1,0.788889,2.931663,1,1,1,0.468503,0.719908,2.531929,1,0.420126,0.579434
50-11-3,0.88672,0.826925,1.250174,1,140.650415,1,0.870612,0.678357,244.363471,0,0.199114,0.408801,-4.778289,1,0.428187,0.477325,-1.98248,1,0.880643,0.808277,-8.350031,0,0.247489,0.347683,5.123397,1,0.562219,0.552685,10.19351,0,0.801628,0.609942,1,1,0.37587,0.539695,10.518889,NaN,-11.233454,0,0.241405,0.506013,0.363666,1,0.460287,0.657042,0.670067,0,0.30845,0.543686,0,1,0.552655,-1.052912,1,0.452905,0.617369,1.856826,1,0.493978,0.618329,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.947368,0,1,1,1,0,1,1,1,0,1,0.964386,0.869732,0,1,1,0.923077,4,1,0.970647,0.592757,5,1,0.94793,0.668011,2.919808,1,0.807411,0.782267,0.492736,1.25017,1.249844,1,0.631295,0.68331
50-12-4,0.884391,0.880548,1.661618,1,140.747305,1,0.869315,0.704217,313.056914,0,0.227134,0.451173,-7.118171,1,0.422474,0.404477,-2.161768,1,0.58219,0.533917,-8.503309,1,0.317571,0.389368,8.093609,1,0.59509,0.570183,10.621021,0,0.850209,0.637908,1,1,0.473784,0.696655,9.502036,NaN,-10.780978,0,0.263372,0.505771,0.341241,1,0.453144,0.586224,0.523911,0,0.375809,0.647075,0,1,0.544826,-1.063488,1,0.488293,0.62513,1.724214,1,0.480122,0.629833,1,1,1,0,1,1,0,1,1,0,1,0.944444,0,1,1,0.947368,0,1,1,0.894737,0,1,1,0.935484,0,1,0.968737,0.855559,0,1,1,0.896552,3,1,1,0.913043,4,1,1,0.857143,2.965908,1,1,1,0.477079,1.661575,1.658198,1,0.679087,0.788602
50-14-6,0.423516,0.451172,8.521042,0,109.024115,1,0.918952,0.808039,388.191893,0,0.288908,0.478521,-7.056841,0,0.2488,0.417552,-6.898121,1,0.438888,0.46232,-7.459663,0,0.1808,0.281057,35.006475,1,0.337927,0.495699,10.366844,0,0.441532,0.407831,1,1,0.341085,0.266921,11.75503,NaN,-9.7174,0,0.104781,0.502799,3.495181,0,0.254223,0.458315,0.913131,0,0.201233,0.530348,0,1,0.706336,0.679662,0,0.205488,0.43191,4.860942,0,0.320461,0.450113,1,1,1,1,0.860358,0.657626,1,0.90972,0.778991,0,0.919755,0.784714,1,1,1,0.6,1,1,1,0.904762,1,1,1,0.967742,1,1,1,0.833333,0,1,1,0.785714,1,1,1,0.8,2,1,1,0.5,1.234421,1,1,0.391304,0.412672,8.521042,8.521023,0,0.382301,0.359046
50-18-0,0.916139,0.831594,0.794911,1,53.266553,1,0.889102,0.805116,300.123823,0,0.215153,0.397557,-4.007605,1,0.44149,0.377265,-0.992585,1,0.871764,0.727831,-5.562212,1,0.423368,0.511687,7.94777,1,0.477289,0.542976,8.522922,1,0.893894,0.615733,1,1,0.317745,0.330195,7.560387,NaN,-10.618543,1,0.378252,0.551993,0.382762,1,0.357688,0.526172,0.581743,0,0.111707,0.46112,1,1,0.462045,-1.107747,1,0.383939,0.542021,1.576439,1,0.435203,0.56235,1,1,1,0,1,0.666667,0,1,0.625,0,1,0.705882,0,1,0.978154,0.970628,0,1,1,0.9,0,1,0.986222,0.941149,1,1,1,0.537778,0,1,1,0.928205,2,1,1,0.726708,3,1,1,0.665635,2.039685,1,1,0.914855,0.311517,0.791148,0.566713,1,0.616942,0.580894
50-19-1,0.542563,0.511082,-1.34435,1,70.800297,1,0.862021,0.603289,300.375542,0,0.275189,0.513219,-6.972113,1,0.3508,0.360997,-0.9736,1,0.856022,0.779137,-8.732001,1,0.285909,0.361444,7.603965,1,0.589929,0.564148,8.138539,0,0.422444,0.464109,1,1,0.4005,0.654859,7.247568,NaN,-10.86863,0,0.306018,0.524632,0.130507,1,0.402747,0.587572,0.54861,0,0.300529,0.615843,1,1,0.562385,-0.842831,1,0.342768,0.512061,1.561345,1,0.528131,0.573124,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0.982115,1,0,1,1,1,0,1,1,0.965517,0,1,0.959522,0.990921,0,1,0.980622,0.857481,3,1,0.987147,0.806871,5,1,0.971955,0.814036,2.535942,1,0.85984,0.757266,0.512197,-1.352048,-1.72825,1,0.471531,0.582971
